author/repo,name,url,language,license,size
config/emacs/pen.el,pen.el,git@github.com:semiosis/pen.el.git,Elisp,GPL-3.0-only,12.62 MiB
config/emacs/prompts,prompts,git@github.com:semiosis/prompts.git,Org,GPL-3.0-only,353.97 KiB
connermcd/sed,sed,https://github.com/connermcd/sed,Haskell,GPL-3.0-only,41.69 KiB
cookiecutter/cookiecutter,cookiecutter,https://github.com/cookiecutter/cookiecutter,Python,BSD-3-Clause,622.47 KiB
countably1nfinite/big-sleep,big-sleep,https://github.com/countably1nfinite/big-sleep,Python,MIT,9.82 MiB
cquery-project/cquery,cquery,https://github.com/cquery-project/cquery,Cpp,MIT,1.20 MiB
crazymykl/rust-koans,rust-koans,https://github.com/crazymykl/rust-koans,Rust,MIT,32.04 KiB
croissant-mfe/croissant,croissant,https://github.com/croissant-mfe/croissant,Ruby,CC-BY-NC-SA-4.0,973.75 KiB
cucumber-test/cucumber-test,cucumber-test,https://github.com/cucumber-test/cucumber-test,JavaScript,MIT,1.30 MiB
cuducos/getgist,getgist,https://github.com/cuducos/getgist,Python,MIT,106.19 KiB
curlpipe/ox,ox,https://github.com/curlpipe/ox,Rust,GPL-2.0-only,204.22 KiB
cwearl/fulmar,fulmar,https://github.com/cwearl/fulmar,Racket,MIT,143.52 KiB
cwjohan/markdown-to-html,markdown-to-html,https://github.com/cwjohan/markdown-to-html,JavaScript,MIT,88.23 KiB
cxxxr/cl-lsp,cl-lsp,https://github.com/cxxxr/cl-lsp,Lisp,MIT,138.08 KiB
cxxxr/lem,lem,https://github.com/cxxxr/lem,Lisp,MIT,2.84 MiB
cytopia/ffscreencast,ffscreencast,https://github.com/cytopia/ffscreencast,Bash,MIT,263.77 KiB
cytoscape/cytoscape.js,cytoscape.js,https://github.com/cytoscape/cytoscape.js,JavaScript,MIT,21.51 MiB
d0c-s4vage/lookatme,lookatme,https://github.com/d0c-s4vage/lookatme,Python,MIT,1.76 MiB
dainiusjocas/lucene-grep,lucene-grep,https://github.com/dainiusjocas/lucene-grep,Clojure,Apache-2.0,233.76 KiB
dakra/lsp-java,lsp-java,https://github.com/dakra/lsp-java,Elisp,GPL-3.0-only,1.04 MiB
dakrone/cheshire,cheshire,https://github.com/dakrone/cheshire,Clojure,MIT,672.81 KiB
dakrone/es-mode,es-mode,https://github.com/dakrone/es-mode,Elisp,GPL-3.0-only,125.27 KiB
danielkrupinski/OneByteWallhack,OneByteWallhack,https://github.com/danielkrupinski/OneByteWallhack,Python,MIT,2.21 KiB
danielkrupinski/Osiris,Osiris,https://github.com/danielkrupinski/Osiris,Cpp,MIT,3.38 MiB
danil/rc,rc,https://github.com/danil/rc,Markdown,CC-BY-SA-3.0,225.54 KiB
danprager/racket-2048,racket-2048,https://github.com/danprager/racket-2048,Racket,MIT,27.43 KiB
davidbrewer/xmonad-ubuntu-conf,xmonad-ubuntu-conf,https://github.com/davidbrewer/xmonad-ubuntu-conf,Haskell,MIT,58.17 KiB
dbcli/litecli,litecli,https://github.com/dbcli/litecli,Python,BSD-3-Clause,1.02 MiB
dbcli/mycli,mycli,https://github.com/dbcli/mycli,Python,BSD-3-Clause,533.75 KiB
dbcli/odbc-cli,odbc-cli,https://github.com/dbcli/odbc-cli,Python,BSD-3-Clause,224.27 KiB
dbcli/pgcli,pgcli,https://github.com/dbcli/pgcli,Python,BSD-3-Clause,808.87 KiB
dbrattli/OSlash,OSlash,https://github.com/dbrattli/OSlash,Python,MIT,203.83 KiB
dbsystel/gitlab-ci-python-library,gitlab-ci-python-library,git@gitlab.com:dbsystel/gitlab-ci-python-library.git,Python,Apache-2.0,354.08 KiB
dderevjanik/agescx,agescx,https://github.com/dderevjanik/agescx,Python,MIT,1.91 MiB
deadsnakes/python3.6,python3.6,https://github.com/deadsnakes/python3.6,Python,Python-2.0,78.34 MiB
deanwampler/programming-scala-book-code-examples,programming-scala-book-code-examples,https://github.com/deanwampler/programming-scala-book-code-examples,Scala,Apache-2.0,282.48 KiB
debauchee/barrier,barrier,https://github.com/debauchee/barrier,Cpp,AGPL-1.0-only,18.85 MiB
debauchee/barrier.wiki,barrier.wiki,https://github.com/debauchee/barrier.wiki,Markdown,CC-BY-NC-SA-4.0,68.02 KiB
decimals/sequence,sequence,https://github.com/decimals/sequence,Clojure,Apache-2.0,80.64 KiB
deem0n/deep-book-clojure,deep-book-clojure,https://github.com/deem0n/deep-book-clojure,Clojure,MIT,31.59 KiB
deepklarity/jupyter-text2code,jupyter-text2code,https://github.com/deepklarity/jupyter-text2code,Python,MIT,25.96 MiB
deepmind/tree,tree,https://github.com/deepmind/tree,Python,Apache-2.0,142.46 KiB
def-/ghc-vis,ghc-vis,https://github.com/def-/ghc-vis,Html,BSD-3-Clause,8.14 MiB
denisidoro/navi,navi,https://github.com/denisidoro/navi,Sh,Apache-2.0,88.79 KiB
dequis/purple-facebook,purple-facebook,https://github.com/dequis/purple-facebook,Sh,GPL-2.0-only,123.50 KiB
derailed/k9s,k9s,https://github.com/derailed/k9s,Go,Apache-2.0,7.51 MiB
devnag/pytorch-generative-adversarial-networks,pytorch-generative-adversarial-networks,https://github.com/devnag/pytorch-generative-adversarial-networks,Python,Apache-2.0,18.71 KiB
dewberryants/asciiMol,asciiMol,https://github.com/dewberryants/asciiMol,Python,BSD-2-Clause,388.07 KiB
dfrib/emacs_setup,emacs_setup,https://github.com/dfrib/emacs_setup,Markdown,MIT,35.18 KiB
dgentry/Pymacs,Pymacs,https://github.com/dgentry/Pymacs,Python,GPL-2.0-only,431.26 KiB
dgraziotin/mbpfan,mbpfan,https://github.com/dgraziotin/mbpfan,C,GPL-3.0-only,164.09 KiB
dhall-lang/dhall-haskell,dhall-haskell,https://github.com/dhall-lang/dhall-haskell,Haskell,BSD-3-Clause,9.56 MiB
dieggsy/esh-autosuggest,esh-autosuggest,https://github.com/dieggsy/esh-autosuggest,Elisp,GPL-3.0-only,291.86 KiB
dieggsy/eterm-256color,eterm-256color,https://github.com/dieggsy/eterm-256color,Elisp,GPL-3.0-only,53.46 KiB
digikar99/py4cl2,py4cl2,https://github.com/digikar99/py4cl2,Lisp,MIT,1.12 MiB
digitallyinduced/ihp,ihp,https://github.com/digitallyinduced/ihp,Haskell,MIT,31.00 MiB
digitalocean/doctl,doctl,https://github.com/digitalocean/doctl,Go,Apache-2.0,24.56 MiB
digitalocean/nginxconfig.io,nginxconfig.io,https://github.com/digitalocean/nginxconfig.io,Vue,MIT,2.29 MiB
diku-dk/futhark-mode,futhark-mode,https://github.com/diku-dk/futhark-mode,Elisp,ISC,57.47 KiB
dinedal/textql,textql,https://github.com/dinedal/textql,Go,MIT,1.06 MiB
divyum/clojure-simple-http,clojure-simple-http,https://github.com/divyum/clojure-simple-http,Clojure,EPL-1.0,16.73 KiB
dkellner/chronofold,chronofold,https://github.com/dkellner/chronofold,Rust,AGPL-3.0-only,110.99 KiB
dlvhdr/gh-dash,gh-dash,https://github.com/dlvhdr/gh-dash,Go,MIT,22.13 MiB
dmlc/gluon-nlp,gluon-nlp,https://github.com/dmlc/gluon-nlp,Cpp,Apache-2.0,5.41 MiB
dmmar/netascode,netascode,https://github.com/dmmar/netascode,Python,MIT,6.37 MiB
docker-solr/docker-solr,docker-solr,https://github.com/docker-solr/docker-solr,Sh,Apache-2.0,681.75 KiB
docker/awesome-compose,awesome-compose,https://github.com/docker/awesome-compose,JavaScript,CC0-1.0,10.21 MiB
docker/compose,compose,https://github.com/docker/compose,Python,Apache-2.0,1.33 MiB
docker/compose-cli,compose-cli,https://github.com/docker/compose-cli,Go,Apache-2.0,1.59 MiB
docker/docker,docker,https://github.com/docker/docker,Go,Apache-2.0,44.18 MiB
docker/swarmkit,swarmkit,https://github.com/docker/swarmkit,Go,Apache-2.0,27.40 MiB
dpayne/cli-visualizer,cli-visualizer,https://github.com/dpayne/cli-visualizer,Cpp,MIT,257.18 KiB
draios/sysdig,sysdig,https://github.com/draios/sysdig,Lua,Apache-2.0,965.74 KiB
drewc/smug,smug,https://github.com/drewc/smug,Org,MIT,256.45 KiB
drupalprojects/kalatheme,kalatheme,https://github.com/drupalprojects/kalatheme,Php,GPL-2.0-only,306.74 KiB
dryewo/clojure-library-template,clojure-library-template,https://github.com/dryewo/clojure-library-template,Clojure,EPL-1.0,31.62 KiB
dsoprea/GDriveFS,GDriveFS,https://github.com/dsoprea/GDriveFS,Python,GPL-2.0-only,261.47 KiB
dungeon-mode/game,game,https://github.com/dungeon-mode/game,Org,GPL-3.0-only,1.00 MiB
dustyweb/terminal-phase,terminal-phase,https://gitlab.com/dustyweb/terminal-phase,Racket,GPL-3.0-only,183.06 KiB
dwarfmaster/Babel2,Babel2,https://github.com/dwarfmaster/Babel2,Lisp,Apache-2.0,117.60 MiB
dwt1/dotfiles,dotfiles,https://gitlab.com/dwt1/dotfiles,C,MIT,19.57 MiB
dylanaraps/pure-bash-bible,pure-bash-bible,https://github.com/dylanaraps/pure-bash-bible,Markdown,MIT,92.29 KiB
dzaporozhets/clojure-web-application,clojure-web-application,git@gitlab.com:dzaporozhets/clojure-web-application.git,Clojure,MIT,238.13 KiB
ebpa/tui.el,tui.el,https://github.com/ebpa/tui.el,Elisp,GPL-3.0-only,285.39 KiB
eccentric-j/cljs-tui-template,cljs-tui-template,https://github.com/eccentric-j/cljs-tui-template,Clojure,Apache-2.0,705.89 KiB
econpy/google-ngrams,google-ngrams,https://github.com/econpy/google-ngrams,Python,MIT,270.75 KiB
edalorzo/hacker-rank-clojure,hacker-rank-clojure,https://github.com/edalorzo/hacker-rank-clojure,Clojure,EPL-1.0,79.64 KiB
eduardogr/understanding-monads,understanding-monads,https://github.com/eduardogr/understanding-monads,Haskell,GPL-3.0-only,901.71 KiB
eerimoq/cantools,cantools,https://github.com/eerimoq/cantools,C,MIT,2.70 MiB
eggheads/eggdrop,eggdrop,https://github.com/eggheads/eggdrop,C,GPL-2.0-only,7.34 MiB
ekmett/abelian,abelian,https://github.com/ekmett/abelian,Haskell,BSD-2-Clause,18.22 KiB
ekmett/lens,lens,https://github.com/ekmett/lens,Haskell,BSD-2-Clause,2.31 MiB
elaforge/fast-tags,fast-tags,https://github.com/elaforge/fast-tags,Haskell,BSD-3-Clause,168.02 KiB
elaforge/fix-imports,fix-imports,https://github.com/elaforge/fix-imports,Haskell,BSD-3-Clause,113.87 KiB
electron/electron,electron,https://github.com/electron/electron,Python,MIT,16.65 MiB
eleleth/eleleth-hugo,eleleth-hugo,git@github.com:eleleth/eleleth-hugo.git,JavaScript,Apache-2.0,4.24 MiB
eleleth/hugo-eureka-starters,hugo-eureka-starters,https://github.com/wangchucheng/hugo-eureka-starters,Html,Apache-2.0,62.43 KiB
elplatt/seltzer,seltzer,https://github.com/elplatt/seltzer,Php,GPL-3.0-only,992.93 KiB
elsy,elsy,https://github.com/cisco/elsy,Go,Apache-2.0,421.00 KiB
emacs-async,emacs-async,https://github.com/jwiegley/emacs-async,Elisp,GPL-3.0-only,92.89 KiB
emacs-ess/ESS,ESS,https://github.com/emacs-ess/ESS,Elisp,GPL-3.0-only,2.00 MiB
emacs-evil/evil,evil,https://github.com/emacs-evil/evil,Elisp,GPL-3.0-only,1.83 MiB
emacs-grammarly/lsp-grammarly,lsp-grammarly,https://github.com/emacs-grammarly/lsp-grammarly,Elisp,GPL-3.0-only,546.91 KiB
emacs-helm/helm,helm,https://github.com/emacs-helm/helm,Elisp,GPL-3.0-only,6.52 MiB
emacs-helm/helm-system-packages,helm-system-packages,https://github.com/emacs-helm/helm-system-packages,Elisp,GPL-3.0-only,2.72 MiB
emacs-lsp/dap-mode,dap-mode,https://github.com/emacs-lsp/dap-mode,Elisp,GPL-3.0-only,3.45 MiB
emacs-lsp/lsp-docker,lsp-docker,https://github.com/emacs-lsp/lsp-docker,Elisp,GPL-3.0-only,125.98 KiB
emacs-lsp/lsp-java,lsp-java,https://github.com/emacs-lsp/lsp-java,Elisp,GPL-3.0-only,1.04 MiB
emacs-lsp/lsp-metals,lsp-metals,https://github.com/emacs-lsp/lsp-metals,Elisp,GPL-3.0-only,122.74 KiB
emacs-lsp/lsp-mode,lsp-mode,https://github.com/emacs-lsp/lsp-mode,Elisp,GPL-3.0-only,13.10 MiB
emacs-mirror/emacs,emacs,https://github.com/emacs-mirror/emacs,Elisp,GPL-3.0-only,151.17 MiB
emacs-mirror/emacs26,emacs,https://github.com/emacs-mirror/emacs,Elisp,GPL-3.0-only,151.17 MiB
emacs-tree-sitter/elisp-tree-sitter,elisp-tree-sitter,https://github.com/emacs-tree-sitter/elisp-tree-sitter,Elisp,MIT,905.80 KiB
emacs-tree-sitter/tree-sitter-langs,tree-sitter-langs,https://github.com/emacs-tree-sitter/tree-sitter-langs,C,MIT,212.58 KiB
emacs-tw/awesome-emacs,awesome-emacs,https://github.com/emacs-tw/awesome-emacs,Org,Unlicense,77.08 KiB
embeddable-common-lisp/ecl,ecl,https://gitlab.com/embeddable-common-lisp/ecl,C,LGPL-2.0-only,31.67 MiB
emk/eshell,eshell,https://github.com/emk/eshell,Elisp,GPL-3.0-only,710.81 KiB
emlynoregan/orc-simulator,orc-simulator,https://github.com/emlynoregan/orc-simulator,Python,MIT,13.47 KiB
eps696/aphantasia,aphantasia,https://github.com/eps696/aphantasia,Python,MIT,4.77 MiB
epsi-rns/dotfiles,dotfiles,https://gitlab.com/epsi-rns/dotfiles,Lua,MIT,16.43 MiB
erdos/routing,routing,https://github.com/erdos/routing,Clojure,EPL-1.0,17.89 KiB
ericclack/racket-examples,racket-examples,https://github.com/ericclack/racket-examples,Racket,GPL-3.0-only,346.05 KiB
ericfreese/rat,rat,https://github.com/ericfreese/rat,Go,MIT,13.34 MiB
erlang/rebar3,rebar3,https://github.com/erlang/rebar3,Erlang,Apache-2.0,1.80 MiB
errata-ai/vale,vale,https://github.com/errata-ai/vale,Go,MIT,105.04 MiB
ervandew/eclim,eclim,https://github.com/ervandew/eclim,Java,GPL-3.0-only,29.25 MiB
eschulte/el-go,el-go,https://github.com/eschulte/el-go,Elisp,GPL-3.0-only,157.52 KiB
esr/comparator,comparator,git@gitlab.com:esr/comparator.git,C,BSD-2-Clause,135.55 KiB
ethereum-lists/tokens,tokens,https://github.com/ethereum-lists/tokens,Kotlin,MIT,1.69 MiB
ethereum/fe,fe,https://github.com/ethereum/fe,Rust,"Apache-2.0, GPL-3.0-only",4.11 MiB
ethereum/solidity,solidity,https://github.com/ethereum/solidity,Cpp,GPL-3.0-only,10.93 MiB
ethereum/solidity-examples,solidity-examples,https://github.com/ethereum/solidity-examples,JavaScript,MIT,541.63 KiB
ethereum/web3.py,web3.py,https://github.com/ethereum/web3.py,Python,MIT,19.72 MiB
ethul/purs-loader,purs-loader,https://github.com/ethul/purs-loader,JavaScript,MIT,123.14 KiB
evanrelf/cabal-templates,cabal-templates,https://github.com/evanrelf/cabal-templates,Sh,ISC,7.22 KiB
evilsocket/opensnitch,opensnitch,https://github.com/evilsocket/opensnitch,Python,GPL-3.0-only,743.09 KiB
excalamus/plover-emacs,plover-emacs,https://github.com/excalamus/plover-emacs,Html,GPL-3.0-only,599.66 KiB
exercism/haskell,haskell,https://github.com/exercism/haskell,Haskell,MIT,908.74 KiB
explosion/projects,projects,https://github.com/explosion/projects,Python,MIT,64.33 MiB
explosion/spaCy,spaCy,https://github.com/explosion/spaCy,Python,MIT,16.83 MiB
explosion/spacy-notebooks,spacy-notebooks,https://github.com/explosion/spacy-notebooks,Jupyter,MIT,7.13 MiB
explosion/spacy-pytorch-transformers,spacy-pytorch-transformers,https://github.com/explosion/spacy-pytorch-transformers,Python,MIT,631.39 KiB
ezaquarii/bison-flex-cpp-example,bison-flex-cpp-example,https://github.com/ezaquarii/bison-flex-cpp-example,Cpp,MIT,27.07 KiB
f-f/purescript-react-basic-native,purescript-react-basic-native,https://github.com/f-f/purescript-react-basic-native,PureScript,Apache-2.0,1.40 MiB
facebookarchive/duckling_old,duckling_old,https://github.com/facebookarchive/duckling_old,Clojure,BSD-2-Clause,1010.36 KiB
facebookincubator/glean,glean,https://github.com/facebookincubator/glean,Haskell,BSD-3-Clause,3.09 MiB
facebookincubator/hsthrift,hsthrift,https://github.com/facebookincubator/hsthrift,Cpp,BSD-3-Clause,1.67 MiB
facebookincubator/hsthrift/folly,folly,https://github.com/facebook/folly.git,Cpp,Apache-2.0,14.52 MiB
facebookresearch/CTrLBenchmark,CTrLBenchmark,https://github.com/facebookresearch/CTrLBenchmark,Python,MIT,136.34 KiB
facebookresearch/KILT,KILT,https://github.com/facebookresearch/KILT,Python,MIT,918.28 KiB
facebookresearch/LASER,LASER,https://github.com/facebookresearch/LASER,Python,CC-BY-NC-4.0,6.51 MiB
facebookresearch/MUSE,MUSE,https://github.com/facebookresearch/MUSE,Python,CC-BY-NC-4.0,283.28 KiB
facebookresearch/NeuralDB,NeuralDB,https://github.com/facebookresearch/NeuralDB,Python,Apache-2.0,603.94 KiB
facebookresearch/ParlAI,ParlAI,https://github.com/facebookresearch/ParlAI,Python,MIT,29.23 MiB
facebookresearch/StarSpace,StarSpace,https://github.com/facebookresearch/StarSpace,Cpp,MIT,941.16 KiB
facebookresearch/TransCoder,TransCoder,https://github.com/facebookresearch/TransCoder,Java,CC-BY-NC-4.0,10.76 MiB
facebookresearch/habitat-lab,habitat-lab,https://github.com/facebookresearch/habitat-lab,Python,MIT,16.37 MiB
facebookresearch/hydra,hydra,https://github.com/facebookresearch/hydra,Python,MIT,1.72 MiB
facebookresearch/metaseq,metaseq,https://github.com/facebookresearch/metaseq,Python,MIT,18.40 MiB
facebookresearch/pplbench,pplbench,https://github.com/facebookresearch/pplbench,Python,MIT,1.43 MiB
facebookresearch/pyrobot,pyrobot,https://github.com/facebookresearch/pyrobot,Cpp,MIT,17.79 MiB
facebookresearch/pytext,pytext,https://github.com/facebookresearch/pytext,Python,BSD-3-Clause,4.03 MiB
facebookresearch/vizseq,vizseq,https://github.com/facebookresearch/vizseq,Python,MIT,23.88 MiB
facebookresearch/wav2letter,wav2letter,https://github.com/facebookresearch/wav2letter,Cpp,BSD-3-Clause,985.31 KiB
facundoolano/advenjure,advenjure,https://github.com/facundoolano/advenjure,JavaScript,EPL-1.0,1.18 MiB
fangohr/template-latex-paper-from-orgmode,template-latex-paper-from-orgmode,https://github.com/fangohr/template-latex-paper-from-orgmode,Org,BSD-3-Clause,215.17 KiB
fantaysia/lookingglass,lookingglass,https://github.com/fantaysia/lookingglass,Org,GPL-3.0-only,47.63 KiB
fantaysia/paracosm,paracosm,https://github.com/fantaysia/paracosm,Org,GPL-3.0-only,34.37 KiB
fantaysia/semiosis-protocol,semiosis-protocol,https://github.com/fantaysia/semiosis-protocol,Org,GPL-3.0-only,37.36 KiB
fdehau/tui-rs,tui-rs,https://github.com/fdehau/tui-rs,Rust,MIT,1.94 MiB
fifth-postulate/julian,julian,https://github.com/fifth-postulate/julian,Perl,Unlicense,54.47 KiB
filamentgroup/svg-to-png,svg-to-png,https://github.com/filamentgroup/svg-to-png,JavaScript,MIT,12.70 MiB
filipesilva/create-cljs-app,create-cljs-app,https://github.com/filipesilva/create-cljs-app,Html,MIT,98.04 KiB
finetuneanon/transformers,transformers,https://github.com/finetuneanon/transformers,Python,Apache-2.0,24.89 MiB
firecracker-microvm/firecracker,firecracker,https://github.com/firecracker-microvm/firecracker,Rust,Apache-2.0,37.50 MiB
flairNLP/flair,flair,https://github.com/flairNLP/flair,Python,MIT,1.85 MiB
flyway/flyway,flyway,https://github.com/flyway/flyway,Java,Apache-2.0,1.78 MiB
fmg-dave/elbe,elbe,https://github.com/fmg-dave/elbe,Python,GPL-3.0-only,1.35 MiB
fpco/schoolofhaskell.com,schoolofhaskell.com,https://github.com/fpco/schoolofhaskell.com,JavaScript,MIT,3.71 MiB
frsoares/hsimplesearch,hsimplesearch,https://github.com/frsoares/hsimplesearch,Haskell,GPL-2.0-only,38.53 KiB
ftravers/datomic-tutorial,datomic-tutorial,https://github.com/ftravers/datomic-tutorial,Org,EPL-1.0,78.05 KiB
funkwerk/compose_plantuml,compose_plantuml,https://github.com/funkwerk/compose_plantuml,Python,MIT,28.40 KiB
fwcd/kotlin-language-server,kotlin-language-server,https://github.com/fwcd/kotlin-language-server,Kotlin,MIT,1.67 MiB
fwcd/kotlin-quick-start,kotlin-quick-start,https://github.com/fwcd/kotlin-quick-start,Sh,CC0-1.0,73.69 KiB
fzf,fzf,https://github.com/junegunn/fzf,Go,MIT,589.71 KiB
gaborhermann/marvin,marvin,https://github.com/gaborhermann/marvin,Haskell,Apache-2.0,192.51 KiB
gabriele-tomassetti/antlr-mega-tutorial,antlr-mega-tutorial,https://github.com/gabriele-tomassetti/antlr-mega-tutorial,CSharp,MIT,69.19 KiB
gansm/finalcut,finalcut,https://github.com/gansm/finalcut,Cpp,"GPL-3.0-only, LGPL-3.0-only",5.15 MiB
garethr/kubeval,kubeval,https://github.com/garethr/kubeval,Go,Apache-2.0,125.07 KiB
gcla/termshark,termshark,https://github.com/gcla/termshark,Go,MIT,568.98 KiB
geerlingguy/ansible-for-devops,ansible-for-devops,https://github.com/geerlingguy/ansible-for-devops,Python,MIT,223.59 KiB
genuinetools/reg,reg,https://github.com/genuinetools/reg,Go,MIT,14.58 MiB
geohot/qira,qira,https://github.com/geohot/qira,JavaScript,MIT,22.35 MiB
geongeorge/Git-User-Switch,Git-User-Switch,https://github.com/geongeorge/Git-User-Switch,JavaScript,MIT,56.38 KiB
getalp/Flaubert,Flaubert,https://github.com/getalp/Flaubert,Python,CC-BY-NC-4.0,427.13 KiB
getnelson/kubernetes-configuration,kubernetes-configuration,https://github.com/getnelson/kubernetes-configuration,Markdown,Apache-2.0,29.51 KiB
ggerganov/imtui,imtui,https://github.com/ggerganov/imtui,Cpp,MIT,378.87 KiB
giampaolo/psutil,psutil,https://github.com/giampaolo/psutil,Python,BSD-3-Clause,3.36 MiB
gigasquid/libpython-clj-examples,libpython-clj-examples,https://github.com/gigasquid/libpython-clj-examples,Clojure,EPL-1.0,24.14 MiB
gigasquid/wonderland-clojure-katas,wonderland-clojure-katas,https://github.com/gigasquid/wonderland-clojure-katas,Clojure,EPL-1.0,266.99 KiB
gillchristian/tailwind-purs,tailwind-purs,https://github.com/gillchristian/tailwind-purs,Haskell,MIT,55.52 KiB
gin-gonic/gin,gin,https://github.com/gin-gonic/gin,Go,MIT,680.00 KiB
github/codeql,codeql,https://github.com/github/codeql,CSharp,MIT,90.13 MiB
github/codeql-go,codeql-go,https://github.com/github/codeql-go,Go,MIT,1.41 MiB
github/copilot-docs,copilot-docs,https://github.com/github/copilot-docs,Python,CC-BY-4.0,56.56 MiB
github/deli,deli,https://github.com/github/deli,Haskell,BSD-3-Clause,62.33 KiB
github/hub,hub,https://github.com/github/hub,Go,MIT,5.82 MiB
github/stack-graphs,stack-graphs,https://github.com/github/stack-graphs,Rust,"Apache-2.0, MIT",573.91 KiB
github/super-linter,super-linter,https://github.com/github/super-linter,Sh,MIT,342.88 KiB
gitlab-org/gitlab-docs,gitlab-docs,https://gitlab.com/gitlab-org/gitlab-docs,Html,MIT,730.29 KiB
gitpod-io/workspace-images,workspace-images,https://github.com/gitpod-io/workspace-images,Dockerfile,MIT,45.16 KiB
gleitz/howdoi,howdoi,https://github.com/gleitz/howdoi,Python,MIT,2.71 MiB
globality-corp/openapi,openapi,https://github.com/globality-corp/openapi,Python,Apache-2.0,86.37 KiB
glouw/paperview,paperview,https://github.com/glouw/paperview,C,Unlicense,65.97 MiB
glowing-bear/glowing-bear,glowing-bear,https://github.com/glowing-bear/glowing-bear,Css,GPL-3.0-only,1.69 MiB
gmihaila/ml_things,ml_things,https://github.com/gmihaila/ml_things,Python,Apache-2.0,18.68 MiB
gnebbia/kb,kb,https://github.com/gnebbia/kb,Python,GPL-3.0-only,14.54 MiB
gnus-real,gnus,https://github.com/jwiegley/gnus,Elisp,GPL-3.0-only,10.05 MiB
go-enry/go-enry,go-enry,https://github.com/go-enry/go-enry,Go,Apache-2.0,20.93 MiB
go-martini/martini,martini,https://github.com/go-martini/martini,Go,MIT,238.69 KiB
go-sqlite/sqlite3,sqlite3,https://github.com/go-sqlite/sqlite3,Go,BSD-3-Clause,5.18 MiB
gohugoio/hugo,hugo,https://github.com/gohugoio/hugo,Go,Apache-2.0,34.02 MiB
goodform/RediSearch,RediSearch,https://github.com/goodform/RediSearch,C,AGPL-3.0-only,10.27 MiB
google-research/bert,bert,https://github.com/google-research/bert,Python,Apache-2.0,347.64 KiB
google-research/bigbird,bigbird,https://github.com/google-research/bigbird,Python,Apache-2.0,2.94 MiB
google-research/language,language,https://github.com/google-research/language,Python,Apache-2.0,7.95 MiB
google-research/pegasus,pegasus,https://github.com/google-research/pegasus,Python,Apache-2.0,813.63 KiB
google-research/text-to-text-transfer-transformer,text-to-text-transfer-transformer,https://github.com/google-research/text-to-text-transfer-transformer,Python,Apache-2.0,20.69 MiB
google/cadvisor,cadvisor,https://github.com/google/cadvisor,Go,Apache-2.0,4.33 MiB
google/cel-spec,cel-spec,https://github.com/google/cel-spec,Go,Apache-2.0,659.82 KiB
google/codesearch,codesearch,https://github.com/google/codesearch,Go,BSD-3-Clause,106.29 KiB
google/containerregistry,containerregistry,https://github.com/google/containerregistry,Python,Apache-2.0,312.00 KiB
google/docker-explorer,docker-explorer,https://github.com/google/docker-explorer,Python,Apache-2.0,4.88 MiB
google/go-github,go-github,https://github.com/google/go-github,Go,BSD-3-Clause,1.51 MiB
google/googletest,googletest,https://github.com/google/googletest,Cpp,BSD-3-Clause,3.83 MiB
google/gumbo-parser,gumbo-parser,https://github.com/google/gumbo-parser,Html,Apache-2.0,11.01 MiB
google/haskell-trainings,haskell-trainings,https://github.com/google/haskell-trainings,Tex,Apache-2.0,738.72 KiB
google/jax,jax,https://github.com/google/jax,Python,Apache-2.0,17.32 MiB
google/jsonnet,jsonnet,https://github.com/google/jsonnet,JavaScript,Apache-2.0,60.49 MiB
google/lisp-koans,lisp-koans,https://github.com/google/lisp-koans,Lisp,Apache-2.0,158.16 KiB
google/monster-mash,monster-mash,https://github.com/google/monster-mash,Cpp,Apache-2.0,14.95 MiB
google/pprof,pprof,https://github.com/google/pprof,Go,Apache-2.0,3.42 MiB
google/sentencepiece,sentencepiece,https://github.com/google/sentencepiece,Cpp,Apache-2.0,49.68 MiB
google/seq2seq,seq2seq,https://github.com/google/seq2seq,Python,Apache-2.0,813.69 KiB
googleapis/google-api-go-client,google-api-go-client,https://github.com/googleapis/google-api-go-client,Go,BSD-3-Clause,107.54 MiB
googlecloudplatform/cloudml-samples,cloudml-samples,https://github.com/googlecloudplatform/cloudml-samples,Python,Apache-2.0,75.25 MiB
googlegenomics/bigquery-examples,bigquery-examples,https://github.com/googlegenomics/bigquery-examples,Python,Apache-2.0,3.96 MiB
gophercloud/gophercloud,gophercloud,https://github.com/gophercloud/gophercloud,Go,Apache-2.0,4.19 MiB
gordicaleksa/pytorch-original-transformer,pytorch-original-transformer,https://github.com/gordicaleksa/pytorch-original-transformer,Python,MIT,648.36 KiB
gpg/gnupg,gnupg,https://github.com/gpg/gnupg,C,"CC0-1.0, GPL-2.0-only, GPL-3.0-only, LGPL-2.1-only, LGPL-3.0-only",26.33 MiB
gponsu/ruby-boilerplate,ruby-boilerplate,https://github.com/gponsu/ruby-boilerplate,Ruby,MIT,3.91 KiB
gpoulter/python-ngram,python-ngram,https://github.com/gpoulter/python-ngram,Python,"GPL-3.0-only, LGPL-3.0-only",94.11 KiB
grafana/metrictank,metrictank,https://github.com/grafana/metrictank,Go,AGPL-3.0-only,25.72 MiB
grailbio/bazel-compilation-database,bazel-compilation-database,https://github.com/grailbio/bazel-compilation-database,Sh,Apache-2.0,56.38 KiB
